id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
90,2011,10,43,1,0,"33,889",,,,,,,,,,
90,2011,10,44,1,0,"33,205",,,,,,,,,,
90,2011,10,45,1,0,"26,385",,,,,,,,,,
90,2011,11,46,1,0,"59,412",,,,,,,,,,
90,2011,11,47,1,0,"31,995",,,,,,,,,,
90,2011,11,48,1,0,"42,607",,,,,,,,,,
90,2011,11,49,1,0,"114,118",,,,,,,,,,
90,2011,12,50,1,0,"25,957",,,,,,,,,,
90,2011,12,51,1,0,"49,867",,,,,,,,,,
90,2011,12,52,1,0,"59,615",,,,,,,,,,
90,2011,12,53,1,0,"21,163",,,,,,,,,,
90,2012,1,1,1,0,"26,212",,,,,,,,,,
90,2012,1,2,1,0,"13,465",,,,,,,,,,
90,2012,1,3,1,0,"20,951",,,,,,,,,,
90,2012,1,4,1,0,"24,925",,,,,,,,,,
90,2012,1,5,1,0,"16,682",,,,,,,,,,
90,2012,1,6,1,0,"33,851",,,,,,,,,,
90,2012,2,7,1,0,"17,067",,,,,,,,,,
90,2012,2,8,1,0,"12,249",,,,,,,,,,
90,2012,2,9,1,0,"28,433",,,,,,,,,,
90,2012,2,10,1,0,"41,526",,,,,,,,,,
90,2012,3,11,1,0,"29,860",,,,,,,,,,
90,2012,3,12,1,0,"37,537",,,,,,,,,,
90,2012,3,13,1,0,"28,532",,,,,,,,,,
90,2012,3,14,1,0,"36,992",,,,,,,,,,
91,2011,4,17,0,1,219,,,,,,,,,,
91,2011,4,18,0,1,354,,,,,,,,,,
91,2011,5,19,0,1,380,,,,,,,,,,
91,2011,5,20,0,1,551,,,,,,,,,,
91,2011,5,21,0,1,650,,,,,,,,,,
91,2011,5,22,0,1,502,,,,,,,,,,
91,2011,5,23,0,1,667,,,,,,,,,,
91,2011,6,24,0,1,822,,,,,,,,,,
91,2011,6,25,0,1,803,,,,,,,,,,
91,2011,6,26,0,1,737,,,,,,,,,,
91,2011,6,27,0,1,524,,,,,,,,,,
91,2011,7,28,0,1,572,,,,,,,,,,
91,2011,7,29,0,1,620,,,,,,,,,,
91,2011,7,30,0,1,373,,,,,,,,,,
91,2011,7,31,0,1,632,,,,,,,,,,
91,2011,8,32,0,1,574,,,,,,,,,,
91,2011,8,33,0,1,595,,,,,,,,,,
91,2011,8,34,0,1,530,,,,,,,,,,
91,2011,8,35,0,1,437,,,,,,,,,,
91,2011,8,36,0,1,569,,,,,,,,,,
91,2011,9,37,0,1,908,,,,,,,,,,
91,2011,9,38,0,1,224,,,,,,,,,,
91,2011,9,39,0,1,304,,,,,,,,,,
91,2011,9,40,0,1,855,,,,,,,,,,
91,2011,10,41,0,1,886,,,,,,,,,,
91,2011,10,42,0,1,666,,,,,,,,,,
91,2011,10,43,1,1,514,,,,,,,,,,
91,2011,10,44,1,1,689,,,,,,,,,,
91,2011,10,45,1,1,407,,,,,,,,,,
91,2011,11,46,1,1,555,,,,,,,,,,
91,2011,11,47,1,1,867,,,,,,,,,,
91,2011,11,48,1,1,876,,,,,,,,,,
91,2011,11,49,1,1,"1,902",,,,,,,,,,
91,2011,12,50,1,1,379,,,,,,,,,,
91,2011,12,51,1,1,420,,,,,,,,,,
91,2011,12,52,1,1,963,,,,,,,,,,
91,2011,12,53,1,1,351,,,,,,,,,,
91,2012,1,1,1,1,525,,,,,,,,,,
91,2012,1,2,1,1,414,,,,,,,,,,
91,2012,1,3,1,1,377,,,,,,,,,,
91,2012,1,4,1,1,333,,,,,,,,,,
91,2012,1,5,1,1,226,,,,,,,,,,
91,2012,1,6,1,1,695,,,,,,,,,,
91,2012,2,7,1,1,469,,,,,,,,,,
91,2012,2,8,1,1,221,,,,,,,,,,
91,2012,2,9,1,1,747,,,,,,,,,,
91,2012,2,10,1,1,217,,,,,,,,,,
91,2012,3,11,1,1,183,,,,,,,,,,
91,2012,3,12,1,1,155,,,,,,,,,,
91,2012,3,13,1,1,232,,,,,,,,,,
91,2012,3,14,1,1,217,,,,,,,,,,
92,2011,4,17,0,0,"18,612",,,,,,,,,,
92,2011,4,18,0,0,"31,869",,,,,,,,,,
92,2011,5,19,0,0,"44,946",,,,,,,,,,
92,2011,5,20,0,0,"43,043",,,,,,,,,,
92,2011,5,21,0,0,"41,318",,,,,,,,,,
92,2011,5,22,0,0,"26,954",,,,,,,,,,
92,2011,5,23,0,0,"39,141",,,,,,,,,,
92,2011,6,24,0,0,"46,727",,,,,,,,,,
92,2011,6,25,0,0,"30,968",,,,,,,,,,
92,2011,6,26,0,0,"45,203",,,,,,,,,,
92,2011,6,27,0,0,"37,564",,,,,,,,,,
92,2011,7,28,0,0,"24,467",,,,,,,,,,
92,2011,7,29,0,0,"34,932",,,,,,,,,,
92,2011,7,30,0,0,"28,264",,,,,,,,,,
92,2011,7,31,0,0,"13,186",,,,,,,,,,
92,2011,8,32,0,0,"38,105",,,,,,,,,,
92,2011,8,33,0,0,"43,571",,,,,,,,,,
92,2011,8,34,0,0,"49,466",,,,,,,,,,
92,2011,8,35,0,0,"12,452",,,,,,,,,,
92,2011,8,36,0,0,"18,879",,,,,,,,,,
92,2011,9,37,0,0,"24,625",,,,,,,,,,
92,2011,9,38,0,0,"21,837",,,,,,,,,,
92,2011,9,39,0,0,"16,943",,,,,,,,,,
92,2011,9,40,0,0,"29,296",,,,,,,,,,
92,2011,10,41,0,0,"29,573",,,,,,,,,,
92,2011,10,42,0,0,"17,814",,,,,,,,,,
92,2011,10,43,1,0,"16,231",,,,,,,,,,
92,2011,10,44,1,0,"21,288",,,,,,,,,,
92,2011,10,45,1,0,"54,162",,,,,,,,,,
92,2011,11,46,1,0,"34,360",,,,,,,,,,
92,2011,11,47,1,0,"61,908",,,,,,,,,,
